1;38151210;1;
2;38151290;1;
3;3917;2;
4;39181000;3;
5;39233000;4;
6;39263000;5;
7;40103;6;
8;59100000;6;
9;40169300;7;
10;4823909;7;
11;40161010;8;
12;40169990;9;
13;57050000;9;
14;59039000;10;
15;59090000;11;
16;63061;12;
17;65061000;13;
18;6813;14;
19;70071100;15;
20;70072100;15;
21;70091000;16;
22;70140000;17;
23;73110000;18;
24;73110000;19;
25;7320;20;
26;7325;21;
27;780600;22;
28;80070090;23;
29;830120;24;
30;830160;24;
31;830170;25;
32;83021000;26;
33;83023000;26;
34;831000;27;
35;84073;28;
36;840820;29;
37;84099;30;
38;84122;31;
39;841330;32;
40;84141000;33;
41;8414801;34;
42;8414802;34;
43;84139190;35;
44;84149010;35;
45;8414903;35;
46;84149039;35;
47;841520;36;
48;84212300;37;
49;84212990;38;
50;84219;39;
51;84241000;40;
52;84213100;41;
53;84213920;42;
54;84254200;43;
55;84311010;44;
56;8431492;45;
57;84339090;46;
58;84811000;47;
59;84812;48;
60;84818092;49;
61;8482;50;
62;8483;51;
63;8484;52;
64;850520;53;
65;850710;54;
66;85071010;55;
67;8511;56;
68;851220;57;
69;851240;57;
70;85129000;57;
71;85171213;58;
72;8518;59;
73;85185000;60;
74;851981;61;
75;8525501;62;
76;85256010;62;
77;85272100;63;
78;85272900;64;
79;85219090;65;
80;85291090;66;
81;853400;67;
82;853530;68;
83;853650;68;
84;85361000;69;
85;85362000;70;
86;85364;71;
87;8538;72;
88;853910;73;
89;85392;74;
90;85442000;75;
91;85443000;76;
92;8707;77;
93;8708;78;
94;87141;79;
95;87169090;80;
96;902610;81;
97;902620;82;
98;9029;83;
99;90303321;84;
100;90318040;85;
101;9032892;86;
102;91040000;87;
103;94012000;88;
104;94019090;88;
105;96138000;89;
106;4009;90;
107;45049000;91;
108;68129910;91;
109;48234000;92;
110;39191000;93;
111;39199000;93;
112;84123110;94;
113;84131900;95;
114;84135090;95;
115;84138100;95;
116;84136019;96;
117;84137010;96;
118;84145910;97;
119;84145990;97;
120;84213990;98;
121;85011019;99;
122;85013110;100;
123;85045000;101;
124;850720;102;
125;850730;102;
126;85123000;103;
127;9032898;104;
128;9032899;104;
129;90271000;105;
130;40081100;106;
131;56012219;107;
132;57032000;108;
133;57033000;109;
134;59119000;110;
135;69039099;111;
136;70072900;112;
137;73145000;113;
138;73145000;113;
139;73151100;114;
140;73151210;115;
141;84189900;116;
142;841950;117;
143;84249090;118;
144;84254910;119;
145;84314100;120;
146;85016100;121;
147;85311090;122;
148;90141000;123;
149;90251990;124;
150;90259010;125;
151;902690;126;
152;90321010;127;
153;90321090;128;
